 R   <X|H|A> 
13.63059 -5.611672759398998e-6
13.63778 -5.613537192043595e-6
13.64496 -5.615399048716503e-6
13.65214 -5.617244353785712e-6
13.65932 -5.6190896886553045e-6
13.6665 -5.620923979436554e-6
13.67368 -5.622747255447448e-6
13.68086 -5.62455953998815e-6
13.68804 -5.62637180221395e-6
13.69522 -5.628167564039478e-6
13.7024 -5.62996330221401e-6
13.70959 -5.631745016485191e-6
13.71677 -5.633518714880172e-6
13.72395 -5.635286904987066e-6
13.73113 -5.637049609393143e-6
13.73831 -5.63879576515778e-6
13.74549 -5.640536439446888e-6
13.75267 -5.64227158154666e-6
13.75985 -5.644001216971691e-6
13.76703 -5.6457198600962895e-6
13.77421 -5.647432972421795e-6
13.78139 -5.649135092484709e-6
13.78858 -5.650834037278485e-6
13.79576 -5.6525195981287175e-6
13.80294 -5.654199679180006e-6
13.81012 -5.6558797364028045e-6
13.8173 -5.657548798667857e-6
13.82448 -5.65920131437992e-6
13.83166 -5.6608538305551e-6
13.83884 -5.662500864050078e-6
13.84602 -5.664136858450584e-6
13.8532 -5.6657673656296505e-6
13.86039 -5.667394601396271e-6
13.86757 -5.669008554110225e-6
13.87475 -5.670617021458369e-6
13.88193 -5.672214451887431e-6
13.88911 -5.673811905596092e-6
13.89629 -5.675398320342648e-6
13.90347 -5.676984758565845e-6
13.91065 -5.6785601585851226e-6
13.91783 -5.680130053864461e-6
13.92501 -5.681683442645817e-6
13.93219 -5.683242315643307e-6
13.93938 -5.68479235058353e-6
13.94656 -5.686329190832288e-6
13.95374 -5.687871537881477e-6
13.96092 -5.6893973784438035e-6
13.9681 -5.690917692991308e-6
13.97528 -5.692432520615428e-6
13.98246 -5.693941819218157e-6
13.98964 -5.695445612013521e-6
13.99682 -5.696938407344053e-6
14.004 -5.698431182919584e-6
14.01119 -5.699915024692701e-6
14.01837 -5.701391271761708e-6
14.02555 -5.7028675188212766e-6
14.03273 -5.704338276064221e-6
14.03991 -5.705797996449006e-6
14.04709 -5.707246722003637e-6
14.05427 -5.708695427898559e-6
14.06145 -5.7101386280242714e-6
14.06863 -5.711570830216801e-6
14.07581 -5.713003011751779e-6
14.083 -5.714431691403433e-6
14.09018 -5.715852849234215e-6
14.09736 -5.717262993681578e-6
14.10454 -5.718673159112419e-6
14.11172 -5.72007228677664e-6
14.1189 -5.7214659279084944e-6
14.12608 -5.72285954991978e-6
14.13326 -5.724247684828211e-6
14.14044 -5.72562478250152e-6
14.14762 -5.727001882055583e-6
14.1548 -5.7283679846062155e-6
14.16199 -5.7297359654767545e-6
14.16917 -5.73109655226435e-6
14.17635 -5.732451613181229e-6
14.18353 -5.7338011666825945e-6
14.19071 -5.73514523055477e-6
14.19789 -5.736478259861591e-6
14.20507 -5.737811307682019e-6
14.21225 -5.7391443391103115e-6
14.21943 -5.740466356225331e-6
14.22661 -5.741782878105747e-6
14.2338 -5.743101211326391e-6
14.24098 -5.74440120436139e-6
14.24816 -5.745706694117477e-6
14.25534 -5.747006670660816e-6
14.26252 -5.748301158709262e-6
14.2697 -5.749590120811032e-6
14.27688 -5.7508735927507424e-6
14.28406 -5.752157048205948e-6
14.29124 -5.753429489062206e-6
14.29842 -5.754696436050993e-6
