 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C> 
2.96 -0.0018117664156227992 -0.008794765266068837 -0.008768804522183676 -0.005508218982636
2.97 -0.0018038573830183534 -0.008799362248013205 -0.008914556348283174 -0.005602810026116394
2.98 -0.0018007488371723397 -0.008808137523506187 -0.009061365154454623 -0.00569846651391649
2.99 -0.0018022657961095003 -0.008820926712771994 -0.009209119844048846 -0.005795095646426268
3.0 -0.0018082354620000004 -0.008837567537000005 -0.009357710729000004 -0.005892605854
3.01 -0.001818487221159421 -0.008857899818344762 -0.009507029529825644 -0.005990906796956311
3.02 -0.0018328526440487738 -0.00888176547992604 -0.009656969375626745 -0.00608990936557816
3.03 -0.001851165485274476 -0.008909008545828715 -0.009807424804087575 -0.0061895256801127955
3.04 -0.0018732616835883812 -0.008939475141102951 -0.009958291761475904 -0.006289669090771854
3.05 -0.0018989793618877523 -0.00897301349176399 -0.010109467602642764 -0.006390254177731236
3.06 -0.0019281588272152756 -0.009009473924792328 -0.010260851091022663 -0.006491196751131212
3.07 -0.0019606425707590558 -0.009048708868133599 -0.010412342398633426 -0.006592413851076355
3.08 -0.001996275267852628 -0.009090572850698668 -0.010563843106076332 -0.006693823747635601
3.09 -0.002034903777974935 -0.009134922502363522 -0.010715256202535965 -0.0067953459408421684
3.1 -0.0020763771447503488 -0.009181616553969379 -0.010866486085780344 -0.006896901160693635
3.11 -0.0021205465959486507 -0.009230515837322604 -0.01101743856216084 -0.006998411367151885
3.12 -0.0021672655434850615 -0.009281483285194795 -0.011168020846612262 -0.007099799750143166
3.13 -0.002216439753763161 -0.009334383891307398 -0.011318271144400656 -0.0072011003107243675
3.14 -0.002268247781712261 -0.009389103983509573 -0.011468892911349594 -0.007302911917407181
3.15 -0.0023226495413516115 -0.009445561748915313 -0.01161996736134664 -0.007405310725399599
3.16 -0.0023795578397901845 -0.009503678412900686 -0.011771448315070014 -0.007508265329927963
3.17 -0.002438886324840605 -0.009563376012989401 -0.011923289990304595 -0.007611744579084931
3.18 -0.0025005494850191927 -0.009624577398852861 -0.012075447001942064 -0.007715717573829595
3.19 -0.0025644626495459257 -0.009687206232310147 -0.012227874361980808 -0.007820153667987393
3.2 -0.002630541988344481 -0.009751186987328034 -0.012380527479526001 -0.00792502246825019
3.21 -0.002698704512042186 -0.009816444950020932 -0.012533362160789482 -0.008030293834176182
3.22 -0.002768868071970061 -0.00988290621865096 -0.012686334609089907 -0.008135937878189985
3.23 -0.0028409513601627945 -0.009950497703627886 -0.012839401424852596 -0.008241924965582572
3.24 -0.0029148739093587646 -0.01001914712750919 -0.012992519605609688 -0.008348225714511335
3.25 -0.0029905560929999997 -0.010088783025 -0.013145646546 -0.008454810995999998
3.26 -0.0030679191252322266 -0.010159334742953127 -0.01329874003776911 -0.008561651933938702
3.27 -0.0031468850609048496 -0.01023073244036907 -0.013451758269769368 -0.008668719905083985
3.28 -0.003227376795570921 -0.01030290708839597 -0.013604659827959786 -0.00877598653905871
3.29 -0.003309318065487208 -0.010375790470329702 -0.013757403695406204 -0.008883423718352185
3.3 -0.0033926334476141197 -0.01044931518161376 -0.013909949252281142 -0.008991003578320056
3.31 -0.003477248359615763 -0.010523414629839342 -0.01406225627586389 -0.009098698507184384
3.32 -0.0035630890598599063 -0.010598023034745307 -0.014214284940540431 -0.009206481146033568
3.33 -0.0036500826474180122 -0.010673075428218227 -0.014365995817803583 -0.00931432438882246
3.34 -0.0037381570620651995 -0.010748507654292305 -0.014517349876252805 -0.009422201382372224
3.35 -0.003827241084280277 -0.010824256369149446 -0.014668308481594344 -0.009530085526370444
3.36 -0.003917264335245712 -0.010900259041119208 -0.014818833396641157 -0.00963795047337106
3.37 -0.00400815727684768 -0.010976453950678873 -0.014968886781313017 -0.009745770128794457
3.38 -0.004099884016771195 -0.011052820472370316 -0.015118602265330527 -0.009853653406342434
3.39 -0.004192579276996425 -0.011129545350607567 -0.015268981488226144 -0.00996239448441512
3.4 -0.004286223360039768 -0.011206622581404488 -0.015420190012034244 -0.010072131378184225
3.41 -0.004380764911441418 -0.011284006963762867 -0.015572223773091701 -0.010182868631802256
3.42 -0.004476153079132833 -0.011361653803206565 -0.015725078787085997 -0.010294610820898976
3.43 -0.004572337513436789 -0.011439518911781625 -0.015878751149055372 -0.010407362552581513
3.44 -0.004669268367067333 -0.011517558608056182 -0.016033237033388718 -0.010521128465434328
3.45 -0.004766896295129848 -0.011595729717120584 -0.016188532693825704 -0.010635913229519213
3.46 -0.004865172455120968 -0.011673989570587228 -0.016344634463456586 -0.010751721546375265
3.47 -0.004964048506928653 -0.01175229600659071 -0.016501538754722402 -0.010868558149018935
3.48 -0.005063476612832138 -0.011830607369787742 -0.01665924205941486 -0.010986427801943985
3.49 -0.005163409437501982 -0.01190888251135718 -0.01681774094867636 -0.011105335301121537
3.5 -0.005263800148000001 -0.011987080789000001 -0.016977032072999994 -0.011225285473999999
3.51 -0.005364602413779334 -0.012065162066939332 -0.017137112162229566 -0.011346283179505128
3.52 -0.005465770406684426 -0.012143086715920461 -0.01729797802555959 -0.011468333308040042
3.53 -0.005567258800950969 -0.012220815613210756 -0.017459626551535223 -0.011591440781485118
3.54 -0.005669022773206014 -0.012298310142599791 -0.0176220547080524 -0.01171561055319814
3.55 -0.0057710180024678525 -0.012375532194399214 -0.017785259542357663 -0.01184084760801416
3.56 -0.00587320067014611 -0.012452444165442847 -0.017949238181048315 -0.011967156962245595
3.57 -0.005975527460041673 -0.012529008959086632 -0.018113987830072314 -0.012094543663682154
3.58 -0.006077955558346771 -0.012605189985208699 -0.018279505774728397 -0.01222301279159094
3.59 -0.006180442653644879 -0.012680951160209232 -0.018445789379665883 -0.012352569456716315
3.6 -0.006282946936910803 -0.012756256907010627 -0.018612836088884883 -0.012483218801280022
3.61 -0.0063854271015106115 -0.012831072155057334 -0.018780643425736095 -0.012614965998981072
3.62 -0.006487842343201717 -0.012905362340316048 -0.018949208992921077 -0.0127478162549959
3.63 -0.006590208713623727 -0.012979164554580641 -0.019118851207212503 -0.012882061223325353
3.64 -0.006692830731046655 -0.01305287738216462 -0.01929151286854123 -0.013019444019475798
3.65 -0.006795741115112024 -0.013126552151252397 -0.019467565740737006 -0.013160306283241547
3.66 -0.006898917097639606 -0.013200169816548035 -0.01964706410194094 -0.013304706338965409
3.67 -0.007002336080666408 -0.013273711519760143 -0.019830063205749756 -0.013452703483230199
3.68 -0.007105975636446765 -0.01334715858960194 -0.02001661928121598 -0.013604357984858899
3.69 -0.007209813507452251 -0.01342049254179123 -0.020206789532847817 -0.013759731084914555
3.7 -0.007313827606371766 -0.013493695079050448 -0.02040063214060929 -0.013918884996700381
3.71 -0.007417996016111451 -0.013566748091106529 -0.020598206259920017 -0.014081882905759615
3.72 -0.0075222969897947595 -0.013639633654691074 -0.020799572021655454 -0.01424878896987566
