 {R}   <|d/dR|>_50 
2.2150328 -0.0087585650392
2.2150788 -0.0087696512139
2.2151249 -0.008780754386900002
2.2151709 -0.0087918263882
2.2152169 -0.008802891310500001
2.215263 -0.0088139731851
2.215309 -0.008825023934299998
2.215355 -0.008836067604800001
2.2154011 -0.0088471281814
2.2154471 -0.008858157679000002
2.2154931 -0.0088691800981
2.2155391 -0.0088801954386
2.2155852 -0.0088912276239
2.2156312 -0.008902228792000004
2.2156772 -0.0089132228818
2.2157233 -0.0089242337703
2.2157693 -0.008935213688000002
2.2158153 -0.008946186527499999
2.2158614 -0.0089571761197
2.2159074 -0.0089681347875
2.2159534 -0.008979086377299998
2.2159995 -0.0089900546737
2.2160455 -0.009000992092
2.2160915 -0.0090119224325
2.2161376 -0.0090228694336
2.2161836 -0.009033785603
2.2162296 -0.0090446946947
2.2162757 -0.009055620401000001
2.2163217 -0.009066515322
2.2163677 -0.009077403165399999
2.2164137 -0.0090882839312
2.2164598 -0.009099181250300003
2.2165058 -0.009110047845900002
2.2165518 -0.009120907364100001
2.2165979 -0.009131783389599999
2.2166439 -0.009142628737900001
2.2166899 -0.0091534670089
2.216736 -0.009164321741200002
2.216782 -0.009175145842700001
2.216828 -0.009185962867100002
2.2168741 -0.009196796306700002
2.2169201 -0.009207599161799997
2.2169661 -0.009218394940000001
2.2170122 -0.0092292070875
2.2170582 -0.0092399886967
2.2171042 -0.009250763229300001
2.2171503 -0.009261554085
2.2171963 -0.009272314449
2.2172423 -0.0092830677363
2.2172884 -0.009293837300900002
2.2173344 -0.009304576419900002
2.2173804 -0.009315308462599998
2.2174264 -0.009326033429
2.2174725 -0.0093367746111
2.2175185 -0.009347485409599999
2.2175645 -0.009358189131900002
2.2176106 -0.009368909024000002
2.2176566 -0.009379598578799999
2.2177026 -0.009390281057600003
2.2177487 -0.0094009796601
2.2177947 -0.009411647971600002
2.2178407 -0.0094223092073
2.2178868 -0.0094329865208
2.2179328 -0.009443633589599999
2.2179788 -0.009454273582800002
2.2180249 -0.0094649296076
2.2180709 -0.009475555434199999
2.2181169 -0.0094861741853
2.218163 -0.009496808922000001
2.218209 -0.0095074135069
2.218255 -0.0095180110163
2.2183011 -0.009528624465500003
2.2183471 -0.009539207809100003
2.2183931 -0.009549784077499998
2.2184391 -0.009560353270699996
2.2184852 -0.0095709383423
2.2185312 -0.0095814933701
2.2185772 -0.009592041322900001
2.2186233 -0.009602605108099998
2.2186693 -0.0096131388957
2.2187153 -0.009623665608600004
2.2187614 -0.009634208107800003
2.2188074 -0.009644720655800002
2.2188534 -0.009655226129199999
2.2188995 -0.009665747342900002
2.2189455 -0.009676238651899998
2.2189915 -0.0096867228863
2.2190376 -0.009697222815
2.2190836 -0.0097076928853
2.2191296 -0.009718155881300001
2.2191757 -0.009728634525500001
2.2192217 -0.009739083357599999
2.2192677 -0.0097495251156
2.2193138 -0.009759982475900002
2.2193598 -0.009770410070300002
2.2194058 -0.009780830590799997
2.2194518 -0.009791244037299997
2.2194979 -0.009801673024800001
2.2195439 -0.009812072308299998
2.2195899 -0.009822464518000004
2.219636 -0.0098328722226
2.219682 -0.0098432502696
2.219728 -0.009853621242900002
2.2197741 -0.0098640076652
2.2198201 -0.009874364476200003
2.2198661 -0.009884714213599998
2.2199122 -0.009895079354100002
2.2199582 -0.0099054149295
2.2200042 -0.009915743431599998
2.2200503 -0.009926087290700002
2.2200963 -0.009936401631000001
2.2201423 -0.0099467088983
2.2201884 -0.0099570314765
2.2202344 -0.009967324582499998
2.2202804 -0.009977610615500001
2.2203265 -0.009987911913700001
2.2203725 -0.009998183785900002
2.2204185 -0.010008448584999996
2.2204645 -0.010018706312999998
2.2205106 -0.010028979243
2.2205566 -0.010039222810000002
2.2206026 -0.010049459305000003
2.2206487 -0.010059710957
2.2206947 -0.010069933292
2.2207407 -0.010080148554
2.2207868 -0.010090378929000002
2.2208328 -0.010100580032000001
2.2208788 -0.010110774063999997
2.2209249 -0.010120983161000003
2.2209709 -0.010131163034000001
2.2210169 -0.010141335835000001
2.221063 -0.010151523656
2.221109 -0.010161682299
2.221155 -0.010171833869999999
2.2212011 -0.010182000416000002
2.2212471 -0.010192137829000001
2.2212931 -0.010202268170999996
2.2213392 -0.010212413442
2.2213852 -0.010222529625999998
