 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
2.28 0.024631082655702193 0.16545439045127433 0.24463391614426136 0.22791042793125718
2.29 0.022414351546825858 0.1633105523890361 0.24250261234611192 0.22580588935551005
2.3 0.020241529962157927 0.1612042283810557 0.2404103425968403 0.22374069943545688
2.31 0.018111791214456323 0.15913471732368645 0.23835631007964383 0.22171407173036364
2.32 0.0160243086164793 0.1571013181132821 0.23633971797772038 0.21972521979949672
2.33 0.013978255480984771 0.15510332964619597 0.23435976947426732 0.21777335720212213
2.34 0.011972805120731001 0.1531400508187818 0.2324156677524824 0.21585769749750616
2.35 0.010007130848475897 0.15121078052739287 0.230506615995563 0.21397745424491474
2.36 0.008080405976977722 0.1493148176683829 0.22863181738670685 0.21213184100361432
2.37 0.006191803818994395 0.14745146113810528 0.22679047510911138 0.2103200713328708
2.38 0.004340497687284164 0.1456200098329137 0.22498179234597437 0.2085413587919506
2.39 0.0025256608946049603 0.14381976264916146 0.22320497228049324 0.20679491694011964
2.4 0.0007464667537150308 0.1420500184832023 0.22145921809586566 0.20507995933664433
2.41 -0.0009979114226276995 0.1403100762313896 0.2197437329752891 0.2033956995407906
2.42 -0.002708300321664985 0.138599234790077 0.21805772010196128 0.20174135111182478
2.43 -0.004385526630638894 0.13691679305561785 0.21640038265907963 0.20011612760901287
2.44 -0.006030417036791186 0.13526204992436588 0.2147709238298419 0.19851924259162124
2.45 -0.007643798227363922 0.13363430429267448 0.2131685467974455 0.1969499096189159
2.46 -0.009226496889598876 0.13203285505689727 0.21159245474508814 0.1954073422501631
2.47 -0.010779339710738092 0.13045700111338762 0.21004185085596727 0.19389075404462888
2.48 -0.012303153378023353 0.12890604135849928 0.20851593831328064 0.19239935856157958
2.49 -0.013798764578696703 0.12737927468858554 0.2070139203002256 0.1909323693602812
2.5 -0.015266999999999921 0.1258760000000001 0.20553499999999997 0.18948900000000002
2.51 -0.016708594692860117 0.12439559028198917 0.20407847492796016 0.18806855499199088
2.52 -0.018123917162944893 0.12293771489536982 0.20264401992809827 0.18667070265546315
2.53 -0.019513244279606795 0.12150211729385212 0.20123140417656554 0.1852952022616151
2.54 -0.020876852912198617 0.12008854093114582 0.19984039684951307 0.18394181308164487
2.55 -0.0222150199300729 0.11869672926096095 0.19847076712309203 0.18261029438675064
2.56 -0.023528022202582433 0.11732642573700727 0.19712228417345343 0.1813004054481305
2.57 -0.024816136599079778 0.11597737381299485 0.19579471717674854 0.18001190553698274
2.58 -0.02607963998891771 0.11464931694263343 0.1944878353091284 0.17874455392450544
2.59 -0.02731880924144879 0.11334199857963306 0.19320140774674419 0.17749810988189685
2.6 -0.0285339212260258 0.1120551621777035 0.19193520366574696 0.17627233268035503
2.61 -0.029725252812001283 0.1107885511905548 0.19068899224228794 0.1750669815910782
2.62 -0.030893080868728034 0.10954190907189669 0.18946254265251813 0.17388181588526452
