# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
2.25000000e+01  -6.30000000e-05 2.47000000e-04  1.30000000e-04  -3.82200000e-03 -1.91400000e-03 -2.86439000e-01
2.27500000e+01  -6.10000000e-05 2.09000000e-04  1.29000000e-04  -3.32600000e-03 -1.97500000e-03 -3.65891000e-01
2.30000000e+01  -5.90000000e-05 1.73000000e-04  1.29000000e-04  -2.83000000e-03 -2.04000000e-03 -4.28012000e-01
2.32500000e+01  -5.80000000e-05 1.39000000e-04  1.29000000e-04  -2.32800000e-03 -2.09700000e-03 -4.59661000e-01
2.35000000e+01  -5.60000000e-05 1.07000000e-04  1.27000000e-04  -1.84000000e-03 -2.13700000e-03 -4.63841000e-01
2.37500000e+01  -5.50000000e-05 7.90000000e-05  1.24000000e-04  -1.39100000e-03 -2.15200000e-03 -4.47237000e-01
2.40000000e+01  -5.40000000e-05 5.50000000e-05  1.20000000e-04  -1.00800000e-03 -2.13100000e-03 -4.16166000e-01
2.42500000e+01  -5.30000000e-05 3.80000000e-05  1.13000000e-04  -7.12000000e-04 -2.06700000e-03 -3.76115000e-01
2.45000000e+01  -5.10000000e-05 2.50000000e-05  1.05000000e-04  -4.94000000e-04 -1.96800000e-03 -3.30111000e-01
2.47500000e+01  -5.00000000e-05 1.60000000e-05  9.60000000e-05  -3.40000000e-04 -1.84100000e-03 -2.80499000e-01
2.50000000e+01  -4.90000000e-05 1.00000000e-05  8.60000000e-05  -2.38000000e-04 -1.69500000e-03 -2.29563000e-01
2.52500000e+01  -4.80000000e-05 7.00000000e-06  7.70000000e-05  -1.75000000e-04 -1.53800000e-03 -1.79561000e-01
2.55000000e+01  -4.60000000e-05 6.00000000e-06  6.70000000e-05  -1.41000000e-04 -1.37900000e-03 -1.32770000e-01
2.57500000e+01  -4.50000000e-05 6.00000000e-06  5.70000000e-05  -1.24000000e-04 -1.22400000e-03 -9.15210000e-02
2.60000000e+01  -4.40000000e-05 6.00000000e-06  4.90000000e-05  -1.15000000e-04 -1.08300000e-03 -5.82450000e-02
2.62500000e+01  -4.30000000e-05 5.00000000e-06  4.20000000e-05  -1.06000000e-04 -9.60000000e-04 -3.47310000e-02
2.65000000e+01  -4.20000000e-05 5.00000000e-06  3.60000000e-05  -9.50000000e-05 -8.55000000e-04 -1.98090000e-02
2.67500000e+01  -4.10000000e-05 5.00000000e-06  3.10000000e-05  -8.30000000e-05 -7.66000000e-04 -1.16780000e-02
2.70000000e+01  -4.00000000e-05 4.00000000e-06  2.60000000e-05  -7.10000000e-05 -6.89000000e-04 -8.65700000e-03
2.72500000e+01  -3.90000000e-05 3.00000000e-06  2.30000000e-05  -5.90000000e-05 -6.22000000e-04 -9.15600000e-03
2.75000000e+01  -3.80000000e-05 2.00000000e-06  2.00000000e-05  -4.70000000e-05 -5.63000000e-04 -1.16470000e-02
2.77500000e+01  -3.70000000e-05 2.00000000e-06  1.70000000e-05  -3.80000000e-05 -5.09000000e-04 -1.46370000e-02
2.80000000e+01  -3.60000000e-05 1.00000000e-06  1.50000000e-05  -3.00000000e-05 -4.60000000e-04 -1.66420000e-02
2.82500000e+01  -3.50000000e-05 1.00000000e-06  1.30000000e-05  -2.50000000e-05 -4.13000000e-04 -1.65640000e-02
2.85000000e+01  -3.40000000e-05 1.00000000e-06  1.10000000e-05  -2.20000000e-05 -3.70000000e-04 -1.48790000e-02
2.87500000e+01  -3.30000000e-05 1.00000000e-06  1.00000000e-05  -2.10000000e-05 -3.29000000e-04 -1.24380000e-02
2.90000000e+01  -3.30000000e-05 1.00000000e-06  8.00000000e-06  -2.00000000e-05 -2.93000000e-04 -1.00770000e-02
2.92500000e+01  -3.20000000e-05 1.00000000e-06  7.00000000e-06  -1.90000000e-05 -2.62000000e-04 -8.45000000e-03
2.95000000e+01  -3.10000000e-05 1.00000000e-06  6.00000000e-06  -1.70000000e-05 -2.35000000e-04 -7.47000000e-03
2.97500000e+01  -3.10000000e-05 1.00000000e-06  6.00000000e-06  -1.60000000e-05 -2.11000000e-04 -6.87700000e-03
3.00000000e+01  -3.00000000e-05 1.00000000e-06  5.00000000e-06  -1.50000000e-05 -1.90000000e-04 -6.41600000e-03
3.02500000e+01  -2.90000000e-05 1.00000000e-06  5.00000000e-06  -1.30000000e-05 -1.70000000e-04 -5.88700000e-03
3.05000000e+01  -2.90000000e-05 0.00000000e+00  4.00000000e-06  -1.30000000e-05 -1.52000000e-04 -5.29800000e-03
3.07500000e+01  -2.80000000e-05 0.00000000e+00  4.00000000e-06  -1.20000000e-05 -1.35000000e-04 -4.71000000e-03
3.10000000e+01  -2.70000000e-05 0.00000000e+00  4.00000000e-06  -1.20000000e-05 -1.20000000e-04 -4.18100000e-03
3.12500000e+01  -2.70000000e-05 0.00000000e+00  3.00000000e-06  -1.10000000e-05 -1.07000000e-04 -3.75400000e-03
3.15000000e+01  -2.60000000e-05 0.00000000e+00  3.00000000e-06  -1.10000000e-05 -9.60000000e-05 -3.39900000e-03
3.17500000e+01  -2.50000000e-05 -0.00000000e+00 3.00000000e-06  -1.10000000e-05 -8.60000000e-05 -3.07800000e-03
3.20000000e+01  -2.50000000e-05 0.00000000e+00  3.00000000e-06  -1.00000000e-05 -7.80000000e-05 -2.78500000e-03
3.22500000e+01  -2.40000000e-05 0.00000000e+00  2.00000000e-06  -1.00000000e-05 -7.00000000e-05 -2.52400000e-03
3.25000000e+01  -2.40000000e-05 0.00000000e+00  2.00000000e-06  -9.00000000e-06 -6.30000000e-05 -2.29000000e-03
3.27500000e+01  -2.30000000e-05 0.00000000e+00  2.00000000e-06  -9.00000000e-06 -5.60000000e-05 -2.07800000e-03
3.30000000e+01  -2.30000000e-05 0.00000000e+00  2.00000000e-06  -9.00000000e-06 -5.00000000e-05 -1.88400000e-03
3.32500000e+01  -2.20000000e-05 1.00000000e-06  2.00000000e-06  -8.00000000e-06 -4.40000000e-05 -1.70500000e-03
3.35000000e+01  -2.20000000e-05 1.00000000e-06  2.00000000e-06  -8.00000000e-06 -4.00000000e-05 -1.54200000e-03
3.37500000e+01  -2.20000000e-05 1.00000000e-06  2.00000000e-06  -8.00000000e-06 -3.50000000e-05 -1.39700000e-03
3.40000000e+01  -2.20000000e-05 0.00000000e+00  2.00000000e-06  -8.00000000e-06 -3.20000000e-05 -1.27500000e-03
3.42500000e+01  -2.10000000e-05 0.00000000e+00  2.00000000e-06  -8.00000000e-06 -3.00000000e-05 -1.17400000e-03
3.45000000e+01  -2.10000000e-05 0.00000000e+00  2.00000000e-06  -7.00000000e-06 -2.70000000e-05 -1.08300000e-03
3.47500000e+01  -2.00000000e-05 0.00000000e+00  2.00000000e-06  -7.00000000e-06 -2.40000000e-05 -9.83000000e-04
3.50000000e+01  -2.00000000e-05 0.00000000e+00  2.00000000e-06  -7.00000000e-06 -2.10000000e-05 -8.57000000e-04
3.52500000e+01  -1.90000000e-05 -0.00000000e+00 2.00000000e-06  -7.00000000e-06 -1.50000000e-05 -6.96000000e-04
3.55000000e+01  -1.80000000e-05 -0.00000000e+00 1.00000000e-06  -7.00000000e-06 -9.00000000e-06 -5.17000000e-04
3.57500000e+01  -1.80000000e-05 -0.00000000e+00 1.00000000e-06  -7.00000000e-06 -3.00000000e-06 -3.45000000e-04
