# Data
{R} <G|V|G> <H|V|H>
6.2916542 0.1531537 0.15370159
6.2988351 0.15315208 0.15376711
6.3060161 0.15313965 0.15384193
6.3131971 0.15311961 0.1539228
6.320378 0.15309418 0.15400747
6.327559 0.15306479 0.15409449
6.3347399 0.15303237 0.1541829
6.3419209 0.15299751 0.15427206
6.3491019 0.15296063 0.15436155
6.3562828 0.15292199 0.15445106
6.3634638 0.1528818 0.15454036
6.3706447 0.1528402 0.15462929
6.3778257 0.15279729 0.1547177
6.3850067 0.15275316 0.15480547
6.3921876 0.15270789 0.15489252
6.3993686 0.15266151 0.15497875
6.4065495 0.1526141 0.15506408
6.4137305 0.15256568 0.15514842
6.4209115 0.15251631 0.1552317
6.4280924 0.15246602 0.15531384
6.4352734 0.15241484 0.15539475
6.4424543 0.15236282 0.15547435
6.4496353 0.15230999 0.15555254
6.4568163 0.15225639 0.15562921
6.4639972 0.15220206 0.15570427
6.4711782 0.15214704 0.15577758
6.4783591 0.15209137 0.15584903
6.4855401 0.15203509 0.15591848
6.492721 0.15197824 0.15598577
6.499902 0.15192086 0.15605075
6.507083 0.151863 0.15611324
6.5142639 0.15180471 0.15617307
6.5214449 0.15174602 0.15623005
6.5286258 0.15168699 0.15628398
6.5358068 0.15162767 0.15633469
6.5429878 0.15156809 0.15638198
6.5501687 0.15150831 0.15642569
6.5573497 0.15144838 0.15646567
6.5645306 0.15138835 0.15650181
6.5717116 0.15132826 0.15653402
6.5788926 0.15126817 0.15656227
6.5860735 0.15120812 0.15658656
6.5932545 0.15114816 0.15660695
6.6004354 0.15108835 0.15662354
6.6076164 0.15102872 0.15663646
6.6147974 0.15096933 0.1566459
6.6219783 0.15091023 0.15665206
6.6291593 0.15085144 0.15665517
6.6363402 0.15079299 0.15665548
6.6435212 0.1507349 0.15665323
6.6507022 0.1506772 0.15664866
6.6578831 0.15061991 0.156642
6.6650641 0.15056305 0.15663347
6.672245 0.15050665 0.15662326
6.679426 0.15045073 0.15661157
6.6866069 0.1503953 0.15659855
6.6937879 0.15034038 0.15658436
6.7009689 0.150286 0.15656914
6.7081498 0.15023216 0.156553
6.7153308 0.15017889 0.15653606
6.7225117 0.1501262 0.15651842
6.7296927 0.15007409 0.15650016
6.7368737 0.15002259 0.15648136
6.7440546 0.14997171 0.15646209
6.7512356 0.14992145 0.15644241
6.7584165 0.14987184 0.15642237
6.7655975 0.14982286 0.15640202
6.7727785 0.14977455 0.15638141
6.7799594 0.14972689 0.15636057
6.7871404 0.14967991 0.15633954
6.7943213 0.1496336 0.15631835
6.8015023 0.14958797 0.15629703
6.8086833 0.14954302 0.15627559
6.8158642 0.14949877 0.15625407
6.8230452 0.1494552 0.15623249
6.8302261 0.14941232 0.15621085
6.8374071 0.14937014 0.15618919
6.8445881 0.14932865 0.1561675
6.851769 0.14928786 0.15614582
6.85895 0.14924776 0.15612414
6.8661309 0.14920834 0.15610248
6.8733119 0.14916962 0.15608086
6.8804928 0.14913158 0.15605927
6.8876738 0.14909423 0.15603774
6.8948548 0.14905755 0.15601625
6.9020357 0.14902154 0.15599484
6.9092167 0.1489862 0.15597349
6.9163976 0.14895153 0.15595222
6.9235786 0.14891751 0.15593104
6.9307596 0.14888413 0.15590994
6.9379405 0.1488514 0.15588894
6.9451215 0.1488193 0.15586803
6.9523024 0.14878783 0.15584723
6.9594834 0.14875697 0.15582653
6.9666644 0.14872671 0.15580594
6.9738453 0.14869706 0.15578547
6.9810263 0.14866799 0.15576511
6.9882072 0.1486395 0.15574488
6.9953882 0.14861158 0.15572476
7.0025692 0.14858421 0.15570478
7.0097501 0.14855739 0.15568492
