# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
3.17500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.59037000e-01
3.20000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.58776000e-01
3.22500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70929000e-01 -5.58519000e-01
3.25000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.58266000e-01
3.27500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.58016000e-01
3.30000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.57771000e-01
3.32500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.57530000e-01
3.35000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.57292000e-01
3.37500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.57057000e-01
3.40000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.56825000e-01
3.42500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.56596000e-01
3.45000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.56370000e-01
3.47500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.56151000e-01
3.50000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.55940000e-01
3.52500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.55741000e-01
3.55000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.55564000e-01
3.57500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70928000e-01 -5.55420000e-01
3.60000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70927000e-01 -5.55321000e-01
3.62500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70927000e-01 -5.55275000e-01
3.65000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70927000e-01 -5.55267000e-01
3.67500000e+01  -6.88214000e-01 -6.10905000e-01 -5.70927000e-01 -5.55280000e-01
3.70000000e+01  -6.88214000e-01 -6.10905000e-01 -5.70927000e-01 -5.55294000e-01
3.72500000e+01  -6.88214000e-01 -6.10904000e-01 -5.70927000e-01 -5.55296000e-01
3.75000000e+01  -6.88214000e-01 -6.10904000e-01 -5.70927000e-01 -5.55292000e-01
3.77500000e+01  -6.88214000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
3.80000000e+01  -6.88214000e-01 -6.10904000e-01 -5.70927000e-01 -5.55291000e-01
3.82500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55291000e-01
3.85000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55291000e-01
3.87500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
3.90000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
3.92500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
3.95000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
3.97500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
4.00000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
4.02500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
4.05000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55290000e-01
4.07500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.10000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.12500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.15000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.17500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.20000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.22500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.25000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.27500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.30000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.32500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70927000e-01 -5.55289000e-01
4.35000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
