 R   <X|H|A> 
6.1283334 -0.00025411790174945776
6.1283794 -0.0002541157487429592
6.1284255 -0.0002541135916194078
6.1284715 -0.0002541114397368857
6.1285175 -0.00025410928841517486
6.1285636 -0.00025410713297892534
6.1286096 -0.00025410498277886697
6.1286556 -0.00025410283313841034
6.1287016 -0.0002541006840571314
6.1287477 -0.0002540985308645016
6.1287937 -0.0002540963829014754
6.1288397 -0.000254094235496289
6.1288858 -0.0002540920839820236
6.1289318 -0.0002540899376923193
6.1289778 -0.00025408779195902577
6.1290239 -0.00025408564211882245
6.1290699 -0.00025408349749805686
6.1291159 -0.00025408135343218117
6.129162 -0.000254079205261465
6.129208 -0.0002540770623049843
6.129254 -0.0002540749199017847
6.1293001 -0.00025407277339571687
6.1293461 -0.00025407063209860524
6.1293921 -0.00025406849135307984
6.1294382 -0.0002540663465065618
6.1294842 -0.00025406420686364777
6.1295302 -0.00025406206777054264
6.1295763 -0.0002540599245782248
6.1296223 -0.0002540577865840886
6.1296683 -0.00025405564913790206
6.1297143 -0.00025405351223902785
6.1297604 -0.0002540513712431712
6.1298064 -0.00025404923543816257
6.1298524 -0.00025404710017850186
6.1298985 -0.0002540449608234263
6.1299445 -0.0002540428266536226
6.1299905 -0.00025404069302712633
6.1300366 -0.0002540385553066941
6.1300826 -0.00025403642276589534
6.1301286 -0.0002540342907662909
6.1301747 -0.0002540321546741416
6.1302207 -0.00025403002375592944
6.1302667 -0.00025402789337672556
6.1303128 -0.0002540257589062841
6.1303588 -0.0002540236296040265
6.1304048 -0.000254021500838523
6.1304509 -0.00025401936798300395
6.1304969 -0.0002540172402898638
6.1305429 -0.0002540151131311544
6.130589 -0.00025401298188357116
6.130635 -0.0002540108557925099
6.130681 -0.0002540087302334926
6.130727 -0.0002540066052057093
6.1307731 -0.00025400447609044815
6.1308191 -0.00025400235212382784
6.1308651 -0.00025400022868597044
6.1309112 -0.0002539981011615921
6.1309572 -0.000253995978779889
6.1310032 -0.00025399385692441716
6.1310493 -0.00025399173098330553
6.1310953 -0.00025398961017886114
6.1311413 -0.00025398748989805865
6.1311874 -0.000253985365532422
6.1312334 -0.00025398324629740483
6.1312794 -0.000253981127583384
6.1313255 -0.000253979004785262
6.1313715 -0.00025397688711167453
6.1314175 -0.00025397476995638263
6.1314636 -0.0002539726487176522
6.1315096 -0.0002539705325973351
6.1315556 -0.00025396841699256193
6.1316017 -0.0002539662973049425
6.1316477 -0.0002539641827295835
6.1316937 -0.00025396206866696506
6.1317397 -0.00025395995511614416
6.1317858 -0.00025395783748316113
6.1318318 -0.0002539557249541881
6.1318778 -0.0002539536129341456
6.1319239 -0.0002539514968323783
6.1319699 -0.0002539493858283987
6.1320159 -0.00025394727533043805
6.132062 -0.00025394516075112497
6.132108 -0.0002539430512633528
6.132154 -0.00025394094227864435
6.1322001 -0.0002539388292128932
6.1322461 -0.00025393672123241306
6.1322921 -0.0002539346137519985
6.1323382 -0.000253932502190791
6.1323842 -0.00025393039570856355
6.1324302 -0.00025392828972336384
6.1324763 -0.00025392617965756174
6.1325223 -0.00025392407575143246
6.1325683 -0.00025392197293676126
6.1326144 -0.00025391986599692957
6.1326604 -0.00025391776407220925
6.1327064 -0.0002539156625912787
6.1327524 -0.0002539135615536618
6.1327985 -0.00025391145639284886
6.1328445 -0.0002539093562413706
