 R   <X|H|X>   <A|H|A> 
6.1148 -0.009220199594013961 -0.012305238951152734
6.1148461 -0.00922033926925313 -0.012304515798059218
6.1148921 -0.009220478651752892 -0.012303794231082812
6.1149381 -0.009220618044487079 -0.012303072681536787
6.1149842 -0.009220757750518591 -0.012302349580886163
6.1150302 -0.009220897163749376 -0.01230162806622124
6.1150762 -0.009221036587220175 -0.012300906568969252
6.1151223 -0.009221176324060875 -0.01230018352070903
6.1151683 -0.009221315768039884 -0.01229946205830377
6.1152143 -0.00922145522226491 -0.012298740613294551
6.1152604 -0.009221594989932842 -0.012298017617373917
6.1153064 -0.009221734464678494 -0.012297296207178163
6.1153524 -0.009221873949676562 -0.012296574814362107
6.1153985 -0.009222013748190991 -0.012295851870731893
6.1154445 -0.009222153253722899 -0.012295130512697136
6.1154905 -0.009222292769514025 -0.012294409172026288
6.1155366 -0.009222432598895406 -0.012293686280638972
6.1155826 -0.00922257213523438 -0.012292964974718337
6.1156286 -0.009222711681839761 -0.01229224368614636
6.1156747 -0.009222851542109736 -0.012291520846956052
6.1157207 -0.009222991109277765 -0.012290799593104274
6.1157667 -0.009223130686719793 -0.012290078356586439
6.1158127 -0.009223270274438429 -0.01228935713739777
6.1158588 -0.009223410175921435 -0.012288634367722278
6.1159048 -0.00922354978422366 -0.012287913183215463
6.1159508 -0.00922368940281059 -0.012287192016023797
6.1159969 -0.00922382933523727 -0.012286469298444468
6.1160429 -0.009223968974424403 -0.012285748165907124
6.1160889 -0.00922410862390474 -0.012285027050671443
6.116135 -0.009224248587300629 -0.012284304385147686
6.116181 -0.009224388257398552 -0.012283583304539833
6.116227 -0.00922452793779855 -0.01228286224122068
6.1162731 -0.009224667932190338 -0.012282139627713462
6.1163191 -0.009224807633226067 -0.012281418598996684
6.1163651 -0.009224947344573128 -0.012280697587556136
6.1164112 -0.009225087369988656 -0.01227997502602798
6.1164572 -0.009225227101990346 -0.012279254049165382
6.1165032 -0.009225366844312998 -0.012278533089567065
6.1165493 -0.009225506900781251 -0.012277810579982023
6.1165953 -0.00922564666377819 -0.01227708965493823
6.1166413 -0.009225786437106092 -0.012276368747147272
6.1166874 -0.009225926524657164 -0.012275646289470905
6.1167334 -0.009226066318679758 -0.012274925416212057
6.1167794 -0.009226206123043692 -0.012274204560195102
6.1168254 -0.009226345937752505 -0.012273483721416508
6.1168715 -0.00922648606678857 -0.012272761332888188
6.1169175 -0.009226625902220426 -0.012272040528613366
6.1169635 -0.009226765748008028 -0.012271319741566594
6.1170096 -0.00922690590820147 -0.012270597404872404
6.1170556 -0.009227045774734237 -0.012269876652309296
6.1171016 -0.009227185651633989 -0.012269155916964435
6.1171477 -0.0092273258430186 -0.012268433632074877
6.1171937 -0.009227465740686365 -0.012267712931194536
6.1172397 -0.009227605648732708 -0.012266992247523123
6.1172858 -0.009227745871343375 -0.012266270014410148
6.1173318 -0.009227885800181313 -0.012265549365185067
6.1173778 -0.009228025739409777 -0.012264828733160066
6.1174239 -0.009228165993282468 -0.01226410655179707
6.1174699 -0.009228305953326814 -0.012263385954201171
6.1175159 -0.009228445923774009 -0.01226266537379698
6.117562 -0.009228586208945762 -0.01226194324415877
6.117608 -0.00922872620023384 -0.012261222698167385
6.117654 -0.00922886620193743 -0.012260502169359807
6.1177001 -0.009229006518446351 -0.012259780091422598
6.1177461 -0.00922914654101654 -0.012259059597012463
6.1177921 -0.009229286574015253 -0.01225833911977869
6.1178381 -0.009229426617446902 -0.012257618659718915
6.1178842 -0.009229566975792238 -0.012256896650669327
6.1179302 -0.009229707040125852 -0.01225617622498793
6.1179762 -0.009229847114905885 -0.012255455816473703
6.1180223 -0.009229987504681396 -0.01225473385907502
6.1180683 -0.009230127600390735 -0.012254013484925948
6.1181143 -0.009230267706560312 -0.012253293127937657
6.1181604 -0.009230408127807595 -0.012252571222170673
6.1182064 -0.00923054825493451 -0.012251850899535214
6.1182524 -0.009230688392535833 -0.0122511305940546
6.1182985 -0.009230828845297526 -0.01225040873990146
6.1183445 -0.009230969003884891 -0.012249688468762237
6.1183905 -0.009231109084407723 -0.012248968091040266
6.1184366 -0.009231249433822532 -0.012248246100009632
6.1184826 -0.009231389491776591 -0.012247525695768686
6.1185286 -0.009231529562681414 -0.012246805312116709
6.1185747 -0.009231669951061365 -0.012246083383032366
6.1186207 -0.009231810047836603 -0.012245363040492261
6.1186667 -0.009231950157503777 -0.012244642718430955
6.1187128 -0.009232090584671882 -0.012243920850961444
6.1187588 -0.009232230720093349 -0.012243200569793796
6.1188048 -0.009232370868349566 -0.012242480308997121
6.1188508 -0.009232511029421851 -0.01224176006853604
6.1188969 -0.009232651508031434 -0.012241038282701459
6.1189429 -0.009232791694708283 -0.012240318082850367
6.1189889 -0.009232931894146184 -0.012239597903230138
6.119035 -0.009233072411150135 -0.012238876178264371
6.119081 -0.009233212636084068 -0.012238156039046745
6.119127 -0.009233352873725642 -0.012237435919957546
6.1191731 -0.009233493428963277 -0.01223671425555239
6.1192191 -0.00923363369199556 -0.012235994176663
