 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
2.2001645 -4.6451935691652906e-7 -4.6451935691652906e-7
2.2002106 -4.405441668679674e-7 -4.405441668679674e-7
2.2002566 -4.172683343739288e-7 -4.172683343739288e-7
2.2003026 -3.9457196199658163e-7 -3.9457196199658163e-7
2.2003487 -3.724579912354555e-7 -3.724579912354555e-7
2.2003947 -3.5102870795533644e-7 -3.5102870795533644e-7
2.2004407 -3.3023248846897926e-7 -3.3023248846897926e-7
2.2004867 -3.0998041256350485e-7 -3.0998041256350485e-7
2.2005328 -2.904092210431732e-7 -2.904092210431732e-7
2.2005788 -2.714654119218119e-7 -2.714654119218119e-7
2.2006248 -2.531186570984892e-7 -2.531186570984892e-7
2.2006709 -2.3541102151545884e-7 -2.3541102151545884e-7
2.2007169 -2.1835449436824195e-7 -2.1835449436824195e-7
2.2007629 -2.0191994900502918e-7 -2.0191994900502918e-7
2.200809 -1.8610861468793567e-7 -1.8610861468793567e-7
2.200855 -1.7094984479948247e-7 -1.7094984479948247e-7
2.200901 -1.5638622942567007e-7 -1.5638622942567007e-7
2.2009471 -1.4248384602185834e-7 -1.4248384602185834e-7
2.2009931 -1.2921391387807452e-7 -1.2921391387807452e-7
2.2010391 -1.1659824465933438e-7 -1.1659824465933438e-7
2.2010852 -1.0462215781267884e-7 -1.0462215781267884e-7
2.2011312 -9.327639215038758e-8 -9.327639215038758e-8
2.2011772 -8.258647820179457e-8 -8.258647820179457e-8
2.2012233 -7.25077156361021e-8 -7.25077156361021e-8
2.2012693 -6.311964461574489e-8 -6.311964461574489e-8
2.2013153 -5.435814679713975e-8 -5.435814679713975e-8
2.2013614 -4.62368576806362e-8 -4.62368576806362e-8
2.2014074 -3.878400572979262e-8 -3.878400572979262e-8
2.2014534 -3.196728376357667e-8 -3.196728376357667e-8
2.2014994 -2.581479339378694e-8 -2.581479339378694e-8
2.2015455 -2.0301349907348297e-8 -2.0301349907348297e-8
2.2015915 -1.5464300089197164e-8 -1.5464300089197164e-8
2.2016375 -1.1273494293118903e-8 -1.1273494293118903e-8
2.2016836 -7.739600248272982e-9 -7.739600248272982e-9
2.2017296 -4.8682783620805935e-9 -4.8682783620805935e-9
2.2017756 -2.6625126189258123e-9 -2.6625126189258123e-9
2.2018217 -1.111764652470552e-9 -1.111764652470552e-9
2.2018677 -2.2790448724221122e-10 -2.2790448724221122e-10
2.2019137 -9.807431938088154e-12 -9.807431938088154e-12
2.2019598 -4.5807886456261196e-10 -4.5807886456261196e-10
2.2020058 -1.5740329904147025e-9 -1.5740329904147025e-9
2.2020518 -3.360167304618888e-9 -3.360167304618888e-9
2.2020979 -5.820581018651522e-9 -5.820581018651522e-9
2.2021439 -8.947025274820546e-9 -8.947025274820546e-9
2.2021899 -1.2750081249397932e-8 -1.2750081249397932e-8
2.202236 -1.7233578598670772e-8 -1.7233578598670772e-8
2.202282 -2.2385361523041966e-8 -2.2385361523041966e-8
2.202328 -2.8210426842727045e-8 -2.8210426842727045e-8
2.2023741 -3.473554734813113e-8 -3.473554734813113e-8
2.2024201 -4.19266906749933e-8 -4.19266906749933e-8
2.2024661 -4.979903224001084e-8 -4.979903224001084e-8
2.2025121 -5.834901629085561e-8 -5.834901629085561e-8
2.2025582 -6.758793735974805e-8 -6.758793735974805e-8
2.2026042 -7.751678232022767e-8 -7.751678232022767e-8
2.2026502 -8.812673260312643e-8 -8.812673260312643e-8
2.2026963 -9.945668550052534e-8 -9.945668550052534e-8
2.2027423 -1.114516595433157e-7 -1.114516595433157e-7
2.2027883 -1.2414456392981666e-7 -1.2414456392981666e-7
2.2028344 -1.3751658818387578e-7 -1.3751658818387578e-7
2.2028804 -1.51595900350692e-7 -1.51595900350692e-7
2.2029264 -1.663706844172078e-7 -1.663706844172078e-7
2.2029725 -1.8184343890242617e-7 -1.8184343890242617e-7
2.2030185 -1.9801307696811453e-7 -1.9801307696811453e-7
2.2030645 -2.148727721487059e-7 -2.148727721487059e-7
2.2031106 -2.3247229229558217e-7 -2.3247229229558217e-7
2.2031566 -2.507145324644533e-7 -2.507145324644533e-7
2.2032026 -2.6967850571232156e-7 -2.6967850571232156e-7
2.2032487 -2.8940156144977453e-7 -2.8940156144977453e-7
2.2032947 -3.097984778845038e-7 -3.097984778845038e-7
2.2033407 -3.3089169692420626e-7 -3.3089169692420626e-7
2.2033868 -3.5271875177507773e-7 -3.5271875177507773e-7
2.2034328 -3.752307745342288e-7 -3.752307745342288e-7
2.2034788 -3.9845373661226757e-7 -3.9845373661226757e-7
2.2035248 -4.2241492874677375e-7 -4.2241492874677375e-7
2.2035709 -4.4709310705386876e-7 -4.4709310705386876e-7
2.2036169 -4.7249945093697503e-7 -4.7249945093697503e-7
2.2036629 -4.98567673793024e-7 -4.98567673793024e-7
2.203709 -5.254126937835502e-7 -5.254126937835502e-7
2.203755 -5.529617257160057e-7 -5.529617257160057e-7
2.203801 -5.812170253707603e-7 -5.812170253707603e-7
2.2038471 -6.102592074071991e-7 -6.102592074071991e-7
2.2038931 -6.39993500604418e-7 -6.39993500604418e-7
2.2039391 -6.704212141066143e-7 -6.704212141066143e-7
2.2039852 -7.016276639830556e-7 -7.016276639830556e-7
2.2040312 -7.335269417716529e-7 -7.335269417716529e-7
2.2040772 -7.661730571767098e-7 -7.661730571767098e-7
2.2041233 -7.995890273736957e-7 -7.995890273736957e-7
2.2041693 -8.336452657672241e-7 -8.336452657672241e-7
2.2042153 -8.685264374905458e-7 -8.685264374905458e-7
2.2042614 -9.041283041345482e-7 -9.041283041345482e-7
2.2043074 -9.404453316924861e-7 -9.404453316924861e-7
2.2043534 -9.774805181410365e-7 -9.774805181410365e-7
2.2043995 -1.015337879152187e-6 -1.015337879152187e-6
2.2044455 -1.053893990579773e-6 -1.053893990579773e-6
2.2044915 -1.093171816165172e-6 -1.093171816165172e-6
2.2045375 -1.1332566933413987e-6 -1.1332566933413987e-6
2.2045836 -1.174070012365998e-6 -1.174070012365998e-6
2.2046296 -1.2156053342285944e-6 -1.2156053342285944e-6
2.2046756 -1.2578661092979087e-6 -1.2578661092979087e-6
2.2047217 -1.3009472980517446e-6 -1.3009472980517446e-6
2.2047677 -1.34470747795552e-6 -1.34470747795552e-6
2.2048137 -1.3893366003354396e-6 -1.3893366003354396e-6
2.2048598 -1.4346058935392435e-6 -1.4346058935392435e-6
2.2049058 -1.4806982360996088e-6 -1.4806982360996088e-6
2.2049518 -1.5275479017946228e-6 -1.5275479017946228e-6
2.2049979 -1.5750848557748206e-6 -1.5750848557748206e-6
2.2050439 -1.6235030234425934e-6 -1.6235030234425934e-6
2.2050899 -1.6726322826446476e-6 -1.6726322826446476e-6
2.205136 -1.7225020624467367e-6 -1.7225020624467367e-6
2.205182 -1.7731575688522943e-6 -1.7731575688522943e-6
2.205228 -1.824524314412361e-6 -1.824524314412361e-6
2.2052741 -1.8768522767544115e-6 -1.8768522767544115e-6
2.2053201 -1.929781012305674e-6 -1.929781012305674e-6
2.2053661 -1.983534568684278e-6 -1.983534568684278e-6
2.2054122 -2.0381211554036597e-6 -2.0381211554036597e-6
2.2054582 -2.093303839750599e-6 -2.093303839750599e-6
2.2055042 -2.1494040685214848e-6 -2.1494040685214848e-6
2.2055502 -2.206221000665044e-6 -2.206221000665044e-6
2.2055963 -2.2639390722217586e-6 -2.2639390722217586e-6
2.2056423 -2.322341248713163e-6 -2.322341248713163e-6
2.2056883 -2.381553638853559e-6 -2.381553638853559e-6
2.2057344 -2.4415838163906975e-6 -2.4415838163906975e-6
2.2057804 -2.502329279924978e-6 -2.502329279924978e-6
2.2058264 -2.5638260781546706e-6 -2.5638260781546706e-6
2.2058725 -2.6263065666732633e-6 -2.6263065666732633e-6
2.2059185 -2.6894405416399927e-6 -2.6894405416399927e-6
2.2059645 -2.753395853342606e-6 -2.753395853342606e-6
2.2060106 -2.8181805307270976e-6 -2.8181805307270976e-6
2.2060566 -2.8836502552258767e-6 -2.8836502552258767e-6
2.2061026 -2.949980080667434e-6 -2.949980080667434e-6
2.2061487 -3.0171794321274903e-6 -3.0171794321274903e-6
2.2061947 -3.0850649175719755e-6 -3.0850649175719755e-6
2.2062407 -3.1538176463225676e-6 -3.1538176463225676e-6
2.2062868 -3.2233395583041063e-6 -3.2233395583041063e-6
2.2063328 -3.2937278394626416e-6 -3.2937278394626416e-6
2.2063788 -3.3648820193821472e-6 -3.3648820193821472e-6
2.2064249 -3.436845566904257e-6 -3.436845566904257e-6
2.2064709 -3.509644952775214e-6 -3.509644952775214e-6
2.2065169 -3.58313739987219e-6 -3.58313739987219e-6
2.2065629 -3.6575502387913795e-6 -3.6575502387913795e-6
2.206609 -3.732740304221882e-6 -3.732740304221882e-6
2.206655 -3.80881189879835e-6 -3.80881189879835e-6
